Script Name, Function Name, Location, Expression, Boolean
18.js,"CallExpression[4,0].Evaluation","Some((step 2, 3:33-60))","[? %1]", true
266.js,"OptionalChain[0,0].ChainEvaluation","Some((step 3, 4:21-90))","[? %1]", true
200426.js,"INTRINSICS.Error","Some((step 4, 7:22-57))","[? %3]", true
198852.js,"ForStatement[1,3].ForLoopEvaluation","Some((step 2, 3:14-38))","[? varDcl]", true
394544.js,"ArrayAssignmentPattern[2,2].DestructuringAssignmentEvaluation","Some((step 3.b, 6:23-33))","[? status]", true
214812.js,"ElementList[1,1].ArrayAccumulation","Some((step 2, 4:21-98))","[? %1]", true
250457.js,"AsyncGeneratorAwaitReturn","Some((step 6, 7:31-82))","[? %1]", true
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 1, 2:20-107))","[? %0]", false
295522.js,"FormalParameters[4,0].IteratorBindingInitialization","Some((step 1, 2:20-126))","[? %0]", true
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 31.a, 104:17-65))","(? elementRecord: "ClassFieldDefinitionRecord")", true
79974.js,"ForInOfStatement[7,0].ForInOfLoopEvaluation","Some((step 1, 2:33-103))","[? %0]", true
286156.js,"UpdateExpression[4,0].Evaluation","Some((step 5, 9:22-52))","[? %5]", true
362471.js,"OptionalChain[1,0].ChainEvaluation","Some((step 2, 3:21-99))","[? %0]", true
28109.js,"ObjectBindingPattern[3,1].BindingInitialization","Some((step 1, 2:35-132))","[? %0]", true
165047.js,"UpdateExpression[2,0].Evaluation","Some((step 5, 9:22-51))","[? %5]", true
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 5, 6:17-32))","(= has true)", false
63774.js,"AssignmentExpression[5,0].Evaluation","Some((step 7, 26:23-85))","[? %4]", true
371399.js,"LabelledItem[0,0].TopLevelVarDeclaredNames","Some((step 1, 2:15-86))","(? this[0]: "Statement10")", true
200426.js,"InstallErrorCause","Some((step 1.a, 3:31-58))","[? %2]", true
204507.js,"TemplateMiddleList[1,0].Evaluation","Some((step 2, 3:14-36))","[? rest]", true
79093.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 13, 31:15-42))","(&& (comp? R) (! (= R.Type ~normal~)))", false
174344.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))", false
250457.js,"INTRINSICS.AsyncGeneratorFunction.prototype.prototype.return","Some((step 8.b, 11:24-64))","[? %5]", true
200380.js,"INTRINSICS.Array.prototype.splice","Some((step 3, 4:37-67))","[? %2]", true
254017.js,"IsInTailPosition","None","(? body: "AsyncConciseBody")", true
213278.js,"BindingElement[1,1].KeyedBindingInitialization","Some((step 2.b, 5:27-53))","[? %2]", true
63154.js,"ElementList[2,1].ArrayAccumulation","Some((step 1, 2:33-108))","[? %0]", true
350368.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 1, 2:38-60))","[? %0]", true
278632.js,"PropertyDefinition[2,0].PropertyDefinitionEvaluation","Some((step 7.b, 14:35-61))","[? %6]", true
343722.js,"BindingElementList[1,0].IteratorBindingInitialization","Some((step 1, 2:20-125))","[? %0]", true
341769.js,"INTRINSICS.Array.prototype.findIndex","Some((step 3, 4:17-51))","(= %2 false)", true
343496.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 3.b, 6:23-33))","[? status]", true
76477.js,"Number::multiply","Some((step 5.a, 15:21-44))","(< x -0.0f)", false
176265.js,"INTRINSICS.Error","Some((step 3.a, 5:29-50))","[? %1]", true
343496.js,"ArrayAssignmentPattern[2,1].DestructuringAssignmentEvaluation","Some((step 3.a, 5:19-55))","(= iteratorRecord.Done false)", false
130780.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 8.g, 27:22-60))","(= %8 false)", true
321962.js,"ConditionalExpression[1,0].HasCallInTailPosition","Some((step 2, 3:17-32))","(= has true)", false
76477.js,"Number::multiply","Some((step 5, 14:19-43))","(= y -0.0f)", true
324045.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 12, 30:15-43))","(! (= R.Value ~empty~))", false
222460.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 2, 3:19-120))","[? %1]", false
371399.js,"LabelledItem[0,0].TopLevelVarScopedDeclarations","Some((step 1, 2:15-86))","(? this[0]: "Statement10")", true
221288.js,"ClassTail[0,1].ClassDefinitionEvaluation:clo0","Some((step 14.a.ii, 40:19-43))","(= NewTarget undefined)", true
116798.js,"AssignmentExpression[4,0].Evaluation","Some((step 1.c.i, 6:30-113))","[? %3]", true
395732.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 30, 101:12 - 102:66))","(< %29 %30.length)", true
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 2.a, 4:35-106))","[? %1]", false
156113.js,"RelationalExpression[6,0].Evaluation","Some((step 6, 7:41-64))","[? %4]", true
264990.js,"INTRINSICS.Promise.allSettled","Some((step 1.a, 3:26-93))","[? %6]", true
101760.js,"MemberExpression[3,0].Evaluation","Some((step 2, 3:31-51))","[? %1]", true
243547.js,"ElementList[3,0].ArrayAccumulation","Some((step 1, 2:33-108))","[? %0]", true
74559.js,"ElementList[3,1].ArrayAccumulation","Some((step 1, 2:33-108))","[? %0]", false
366148.js,"ObjectAssignmentPattern[3,0].DestructuringAssignmentEvaluation","Some((step 2, 3:22-115))","[? %1]", true
15699.js,"INTRINSICS.Set","Some((step 7, 8:38-63))","[? %3]", true
318451.js,"ObjectBindingPattern[3,1].BindingInitialization","Some((step 2, 3:19-130))","[? %1]", true
229495.js,"AssignmentExpression[4,0].Evaluation","Some((step 4, 14:26-44))","[? %8]", true
237086.js,"BindingElementList[1,0].IteratorBindingInitialization","Some((step 2, 3:19-127))","[? %1]", true
294432.js,"AsyncGeneratorAwaitReturn:clo1","None","(< 0 argumentsList.length)", true
391150.js,"BigInt::remainder","Some((step 2, 3:19-41))","(= n 0n)", true
186642.js,"Number::divide","Some((step 7.a, 18:21-44))","(< 0.0f x)", false
172525.js,"ArrayBindingPattern[2,1].IteratorBindingInitialization","Some((step 2, 3:15-35))","(! (= this[1] absent))", false
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 2, 3:17-51))","(! (= this[0] absent))", false
359874.js,"AsyncGeneratorDrainQueue","Some((step 5.c.ii, 11:26-66))","[! %1]", false
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 5, 6:17-32))","(= has true)", false
325717.js,"BindingElisionElement[0,1].IteratorBindingInitialization","Some((step 2, 3:19-120))","[? %1]", true
253120.js,"VariableDeclarationList[1,0].Evaluation","Some((step 2, 3:14-36))","[? next]", true
257736.js,"ClassTail[0,3].ClassDefinitionEvaluation","Some((step 25.f.i, 92:19-45))","(= %27 false)", false
161614.js,"BindingRestElement[1,0].IteratorBindingInitialization","Some((step 3.a, 5:17-53))","(= iteratorRecord.Done false)", false
383700.js,"ForInOfStatement[8,0].ForInOfLoopEvaluation","Some((step 1, 2:33-130))","[? %1]", true
288.js,"OptionalExpression[2,0].Evaluation","Some((step 1, 2:37-73))","[? %0]", true
136963.js,"CaseBlock[1,2].CaseBlockEvaluation","Some((step 5.a.i, 10:31-67))","[? %2]", true
25075.js,"AsyncIteratorClose","Some((step 7, 12:15-58))","(! (= (typeof innerResult.Value) @Object))", true
229626.js,"SwitchStatement[0,0].Evaluation","Some((step 2, 3:33-54))","[? %1]", true
318451.js,"BindingRestProperty[0,0].RestBindingInitialization","Some((step 3, 4:22-79))","[? %3]", true
93774.js,"BindingList[1,0].Evaluation","Some((step 2, 3:14-36))","[? next]", true
105356.js,"OptionalChain[6,0].ChainEvaluation","Some((step 5, 6:21-98))","[? %2]", true
193669.js,"INTRINSICS.print","None","(< 0 argumentsList.length)", false
324045.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 15.b, 35:17-45))","(! (= R.Value ~empty~))", false
23999.js,"ElementList[2,1].ArrayAccumulation","Some((step 4, 6:33-57))","[? %3]", true
195231.js,"CaseBlock[1,1].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)", false
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)", false
185201.js,"ObjectLiteral[2,0].Evaluation","Some((step 2, 3:22-100))","[? %1]", true
315051.js,"ElementList[2,0].ArrayAccumulation","Some((step 4, 6:33-57))","[? %3]", true
186740.js,"CaseClause[0,0].HasCallInTailPosition","Some((step 1, 2:17-43))","(! (= this[1] absent))", false
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 8, 12:19-102))","[? %4]", false
174344.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 3, 4:17-32))","(= has true)", false
373630.js,"MemberExpression[3,0].HasCallInTailPosition","Some((step 1, 2:17-50))","(= this[0] call)", false
237086.js,"BindingElement[1,0].IteratorBindingInitialization","Some((step 2, 3:15-51))","(= iteratorRecord.Done false)", false
31136.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 5.a.i, 10:31-67))","[? %2]", true
4675.js,"PropertyDefinition[2,0].PropertyDefinitionEvaluation","Some((step 2, 3:14-39))","[? propKey]", true
300436.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 1, 2:20-125))","[? %0]", true
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 4, 5:15-45))","(&& (comp? next) (! (= next.Type ~normal~)))", false
308366.js,"CallExpression[6,0].HasCallInTailPosition","Some((step 1, 2:17-48))","(= this[0] call)", false
141211.js,"AsyncArrowBindingIdentifier[0,0].IteratorBindingInitialization","Some((step 5, 6:12-34))","[? next]", false
285484.js,"Elision[0,0].IteratorDestructuringAssignmentEvaluation","Some((step 1, 2:17-53))","(= iteratorRecord.Done false)", false
84557.js,"BoundFunctionExoticObject.Construct","Some((step 6, 7:21-63))","[? %2]", true
221455.js,"FormalParameters[4,0].ContainsExpression","Some((step 1, 2:15-68))","(= %0 true)", true
374274.js,"ForStatement[2,2].ForLoopEvaluation","Some((step 8.b, 15:23-33))","[? forDcl]", true
17123.js,"OptionalChain[6,0].ChainEvaluation","Some((step 3, 4:32-58))","[? %1]", true
111242.js,"ElementList[0,1].ArrayAccumulation","Some((step 3, 5:33-57))","[? %2]", true
394544.js,"ArrayAssignmentPattern[2,2].DestructuringAssignmentEvaluation","Some((step 3.a, 5:19-55))","(= iteratorRecord.Done false)", false
379602.js,"ArgumentList[3,0].ArgumentListEvaluation","Some((step 1, 2:37-79))","[? %0]", true
113491.js,"OptionalExpression[2,0].Evaluation","Some((step 2, 3:33-60))","[? %1]", true
174344.js,"CaseBlock[1,0].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))", false
60332.js,"INTRINSICS.Object.defineProperty","None","(< 0 argumentsList.length)", false
205289.js,"CaseBlock[1,2].HasCallInTailPosition","Some((step 6, 7:17-52))","(! (= this[2] absent))", false
285484.js,"ArrayBindingPattern[2,2].IteratorBindingInitialization","Some((step 1, 2:20-125))","[? %0]", false
248884.js,"CaseBlock[1,3].CaseBlockEvaluation","Some((step 5.b.ii, 13:19-47))","(! (= R.Value ~empty~))", false
180492.js,"FormalParameterList[1,0].IteratorBindingInitialization","Some((step 2, 3:19-121))","[? %1]", true
